DECEMBER,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Wednesday,12/1/21,91,7:33:00,23.00%,19.00%,98.00%,10:56pm - 7:20am
Thursday,12/2/21,81,7:17:00,16.00%,13.00%,94.00%,10:45pm - 6:58am
Friday,12/3/21,80,7:17:00,15.00%,17.00%,78.00%,10:51pm - 7:02am
Saturday,12/4/21,85,8:23:00,20.00%,15.00%,58.00%,9:53pm - 7:17am
Sunday,12/5/21,82,7:19:00,20.00%,12.00%,79.00%,11:54pm - 8:16am
Monday,12/6/21,80,7:18:00,18.00%,16.00%,56.00%,11:28pm - 7:47am
Tuesday,12/7/21,89,8:02:00,21.00%,11.00%,94.00%,10:09pm - 7:18am
Wednesday,12/8/21,85,6:47:00,22.00%,16.00%,94.00%,11:40pm - 7:33am
Thursday,12/9/21,85,7:32:00,12.00%,14.00%,96.00%,10:47pm - 7:27am
Friday,12/10/21,87,7:45:00,20.00%,13.00%,75.00%,10:27pm - 7:07am
Saturday,12/11/21,78,7:57:00,13.00%,10.00%,45.00%,11:44pm - 9:05am
Sunday,12/12/21,85,6:47:00,24.00%,17.00%,74.00%,12:21am - 8:18am
Monday,12/13/21,87,8:33:00,21.00%,15.00%,83.00%,10:13pm - 7:47am
Tuesday,12/14/21,83,7:33:00,12.00%,20.00%,76.00%,11:19pm - 7:54am
Wednesday,12/15/21,79,7:08:00,26.00%,19.00%,31.00%,11:00pm - 6:58am
Thursday,12/16/21,74,6:34:00,16.00%,23.00%,0.00%,12:38am - 8:18am
Friday,12/17/21,84,7:18:00,21.00%,16.00%,79.00%,11:54pm - 8:10am
Saturday,12/18/21,87,8:14:00,16.00%,18.00%,99.00%,10:44pm - 8:16am
Sunday,12/19/21,83,7:08:00,29.00%,17.00%,65.00%,11:57pm - 7:57am
Monday,12/20/21,85,7:06:00,23.00%,14.00%,98.00%,12:42am - 8:51am
Tuesday,12/21/21,91,8:26:00,21.00%,19.00%,96.00%,10:25pm - 8:01am
Wednesday,12/22/21,88,7:29:00,22.00%,16.00%,90.00%,11:01pm - 7:42am
Thursday,12/23/21,89,8:37:00,20.00%,19.00%,95.00%,11:24pm - 9:18am
Friday,12/24/21,78,9:03:00,12.00%,18.00%,52.00%,11:20pm - 9:56am
Saturday,12/25/21,75,6:39:00,16.00%,14.00%,50.00%,01:19am - 9:06am
Sunday,12/26/21,91,7:51:00,21.00%,27.00%,83.00%,12:14am - 9:08am
Monday,12/27/21,83,7:06:00,20.00%,16.00%,90.00%,12:00am - 8:09am
Tuesday,12/28/21,85,6:57:00,20.00%,18.00%,99.00%,11:16pm - 7:02am
Wednesday,12/29/21,91,7:23:00,26.00%,16.00%,98.00%,10:51pm - 7:09am
Thursday,12/30/21,87,7:48:00,22.00%,21.00%,60.00%,11:34pm - 8:18am
Friday,12/31/21,89,8:09:00,23.00%,19.00%,70.00%,10:28pm - 7:29am